parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,3000,2.168820858001709,0.136,,
sklearn_non_parallel,1000,10.0,8,3000,1.825423240661621,0.13199999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,1.7862529754638672,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.681325912475586,0.131,,
sklearn_non_parallel,1000,10.0,8,3000,1.8105568885803223,0.134,,
sklearn_non_parallel,1000,10.0,8,3000,1.6365060806274414,0.12033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.8247878551483154,0.12233333333333332,,
sklearn_non_parallel,1000,10.0,8,3000,1.5301339626312256,0.12566666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.7122890949249268,0.12733333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,1.73612642288208,0.128,,
sklearn_non_parallel,1000,10.0,8,3000,1.5142242908477783,0.124,,
sklearn_non_parallel,1000,10.0,8,3000,1.8331263065338135,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.5195448398590088,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.6796412467956543,0.12799999999999997,,
sklearn_non_parallel,1000,10.0,8,3000,1.7803213596343994,0.142,,
sklearn_non_parallel,1000,10.0,8,3000,1.671769618988037,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7891700267791748,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.4116852283477783,0.126,,
sklearn_non_parallel,1000,10.0,8,3000,1.546337366104126,0.12666666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.8788096904754639,0.12566666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7971525192260742,0.13233333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.827171802520752,0.127,,
sklearn_non_parallel,1000,10.0,8,3000,1.6910479068756104,0.12,,
sklearn_non_parallel,1000,10.0,8,3000,1.4948813915252686,0.13499999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,1.6761586666107178,0.13166666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.5362727642059326,0.12766666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.531952142715454,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7175462245941162,0.123,,
sklearn_non_parallel,1000,10.0,8,3000,1.784813404083252,0.12733333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.6083760261535645,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.7921617031097412,0.11666666666666667,,
sklearn_non_parallel,1000,10.0,8,3000,1.6667392253875732,0.13733333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.7850193977355957,0.12566666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.6793773174285889,0.123,,
sklearn_non_parallel,1000,10.0,8,3000,1.8039827346801758,0.141,,
sklearn_non_parallel,1000,10.0,8,3000,1.8160374164581299,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.6780517101287842,0.12966666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7627456188201904,0.126,,
sklearn_non_parallel,1000,10.0,8,3000,1.8237214088439941,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.6351912021636963,0.13566666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.695267677307129,0.13533333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.7853968143463135,0.12666666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7722105979919434,0.132,,
sklearn_non_parallel,1000,10.0,8,3000,1.658604383468628,0.12666666666666665,,
